2024-04-21T03:20:22.859+1000 INFO tgc.plus.callservice.MailServiceApplication Starting MailServiceApplication using Java 17.0.8 with PID 25511 (/home/makar/IdeaProjects/TigerHost/TigerHostApi/MailService/build/classes/java/main started by makar in /home/makar/IdeaProjects/TigerHost/TigerHostApi)
2024-04-21T07:46:33.831+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T07:56:11.158+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T07:56:11.167+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditPhone Phone for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T07:56:47.757+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T07:56:47.769+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditPhone Phone for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T08:18:35.781+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T08:19:33.063+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T08:20:56.509+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T08:22:29.296+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T08:24:11.225+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T08:25:21.001+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditPhone Phone for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
